Date,Close,High,Low,Open,Volume
2025-02-11,1234.8499755859375,1264.550048828125,1230.0999755859375,1264.550048828125,8859714
2025-02-12,1216.550048828125,1226.9000244140625,1193.3499755859375,1219.449951171875,21131654
2025-02-13,1216.0999755859375,1228,1212,1217.050048828125,8511216
2025-02-14,1217.25,1224,1205.449951171875,1219,10298145
2025-02-17,1224.9000244140625,1227.5,1204.5,1211.0999755859375,8166683
2025-02-18,1225.4000244140625,1229.9000244140625,1216.0999755859375,1224.8499755859375,6673250
2025-02-19,1227.449951171875,1232.75,1217.550048828125,1219.5,6217338
2025-02-20,1233,1239.3499755859375,1222,1223.949951171875,7795582
2025-02-21,1228.1500244140625,1240,1222.1500244140625,1228.699951171875,6904025
2025-02-24,1214.550048828125,1223.25,1210.5,1216.550048828125,7172498
2025-02-25,1204,1221,1201.5,1211,11552182
2025-02-27,1207.0999755859375,1215,1200.6500244140625,1212.800048828125,11509215
2025-02-28,1200.0999755859375,1217.3499755859375,1193.300048828125,1202,23007298
2025-03-03,1171.25,1206.449951171875,1156,1204,17944938
2025-03-04,1161.9000244140625,1174,1159.550048828125,1162.199951171875,11377373
2025-03-05,1175.5999755859375,1183,1157,1161,8664095
2025-03-06,1209.5999755859375,1213.949951171875,1185.1500244140625,1197,14468014
2025-03-07,1249.800048828125,1254.800048828125,1212,1216,16474965
2025-03-10,1238.4000244140625,1258,1235.4000244140625,1245,11931051
2025-03-11,1247.300048828125,1249.5,1229.75,1240,10089838
2025-03-12,1257.050048828125,1263,1244,1258,11977555
2025-03-13,1247.9000244140625,1264.1500244140625,1243.8499755859375,1260.050048828125,9505270
2025-03-17,1238.8499755859375,1257.4000244140625,1233.0999755859375,1242.1500244140625,16640917
2025-03-18,1238.8499755859375,1238.8499755859375,1238.8499755859375,1238.8499755859375,2938243
2025-03-19,1247.1500244140625,1253.25,1238.800048828125,1241.050048828125,16162399
2025-03-20,1269.1500244140625,1273,1250.050048828125,1251.8499755859375,15971477
2025-03-21,1276.3499755859375,1281,1270.0999755859375,1275,21780769
2025-03-24,1302.0999755859375,1306,1284.25,1291,20299319
2025-03-25,1285.449951171875,1307.699951171875,1282.5999755859375,1307.699951171875,13713899
2025-03-26,1273.050048828125,1293.800048828125,1268.75,1291,12074747
2025-03-27,1278.199951171875,1285,1271.300048828125,1278.1500244140625,15028056
2025-03-28,1275.0999755859375,1295.75,1269,1280,18147129
2025-04-01,1252.5999755859375,1277.9000244140625,1249.300048828125,1264.5999755859375,12099648
2025-04-02,1251.1500244140625,1255.550048828125,1243.9000244140625,1247.550048828125,10142590
2025-04-03,1248.699951171875,1251.800048828125,1233.050048828125,1233.050048828125,7434366
2025-04-04,1204.699951171875,1245.449951171875,1193.1500244140625,1241.0999755859375,17908652
2025-04-07,1165.699951171875,1171.25,1114.8499755859375,1132.199951171875,22156106
2025-04-08,1182.199951171875,1196.5999755859375,1163.300048828125,1172,19555040
2025-04-09,1185.3499755859375,1189.800048828125,1168,1169.5,10223104
2025-04-11,1218.949951171875,1222.6500244140625,1195.1500244140625,1195.1500244140625,11224242
